"country","scenario","species","mgmt","animal","cohort","feed","loc","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"pig","intermediate",0,0,"MLOILSDS","local",0,0,"0.8","0.8","0.8","0.8","0.8"
0,0,"pig","intermediate",0,0,"GRNBYDRY","local",0,0,"5.8","5.8","5.8","5.8","5.8"
0,0,"pig","intermediate",0,0,"PULSES","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"CASSAVA","non-local",0,0,"7.4","7.4","7.4","7.4","7.4"
0,0,"pig","intermediate",0,0,"WHEAT","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"MAIZE","non-local",0,0,"12.4","12.4","12.4","12.4","12.4"
0,0,"pig","intermediate",0,0,"BARLEY","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"MILLET","non-local",0,0,"9.3","9.3","9.3","9.3","9.3"
0,0,"pig","intermediate",0,0,"RICE","non-local",0,0,"3.1","3.1","3.1","3.1","3.1"
0,0,"pig","intermediate",0,0,"SORGHUM","non-local",0,0,"8","8","8","8","8"
0,0,"pig","intermediate",0,0,"SOY","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"RAPESEED","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"SOYOIL","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"MLSOY","non-local",0,0,"2.7","2.7","2.7","2.7","2.7"
0,0,"pig","intermediate",0,0,"MLCTTN","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"MLRAPE","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"PKEXP","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"MLOILSDS","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"FISHMEAL","non-local",0,0,"2","2","2","2","2"
0,0,"pig","intermediate",0,0,"MOLASSES","non-local",0,0,"2.3","2.3","2.3","2.3","2.3"
0,0,"pig","intermediate",0,0,"GRNBYDRY","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"GRNBYWET","non-local",0,0,"0","0","0","0","0"
0,0,"pig","intermediate",0,0,"SYNTHETIC","non-local",0,0,"1","1","1","1","1"
