"country","scenario","species","crop","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"0","0","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","kg NH3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","kg ammonium nitrate req per tonne fertiliser","756","756","756","756","756"
0,0,"0","0","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","conversion tonnes N to tonnes fertiliser","3.7","3.7","3.7","3.7","3.7"
0,0,"0","0","Diammonium phosphate (DAP)","Tonnes","0","0","0","0","0"
0,0,"0","0","Diammonium phosphate (DAP)","Tonnes N","0","0","0","0","0"
0,0,"0","0","Diammonium phosphate (DAP)","NH3 EF kg NH3 kg N-1","0.051","0.051","0","0","0"
0,0,"0","0","Diammonium phosphate (DAP)","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","Diammonium phosphate (DAP)","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Diammonium phosphate (DAP)","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Diammonium phosphate (DAP)","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","Diammonium phosphate (DAP)","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","Diammonium phosphate (DAP)","kg NH3 req per tonne fertiliser","219","219","219","219","219"
0,0,"0","0","Diammonium phosphate (DAP)","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Diammonium phosphate (DAP)","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Diammonium phosphate (DAP)","kg ammonium nitrate req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Diammonium phosphate (DAP)","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Diammonium phosphate (DAP)","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Diammonium phosphate (DAP)","conversion tonnes N to tonnes fertiliser","5.56","5.56","5.56","5.56","5.56"
0,0,"0","0","Fertilizers n.e.c.","Tonnes","0","0","0","0","0"
0,0,"0","0","Fertilizers n.e.c.","Tonnes N","0","0","0","0","0"
0,0,"0","0","Fertilizers n.e.c.","NH3 EF kg NH3 kg N-1","0","0","0","0","0"
0,0,"0","0","Fertilizers n.e.c.","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","Fertilizers n.e.c.","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Fertilizers n.e.c.","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Fertilizers n.e.c.","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","Fertilizers n.e.c.","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","Fertilizers n.e.c.","kg NH3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Fertilizers n.e.c.","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Fertilizers n.e.c.","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Fertilizers n.e.c.","kg ammonium nitrate req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Fertilizers n.e.c.","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Fertilizers n.e.c.","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Fertilizers n.e.c.","conversion tonnes N to tonnes fertiliser","0","0","0","0","0"
0,0,"0","0","Monoammonium phosphate (MAP)","Tonnes","0","0","0","0","0"
0,0,"0","0","Monoammonium phosphate (MAP)","Tonnes N","0","0","0","0","0"
0,0,"0","0","Monoammonium phosphate (MAP)","NH3 EF kg NH3 kg N-1","0.051","0.051","0","0","0"
0,0,"0","0","Monoammonium phosphate (MAP)","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
0,0,"0","0","Monoammonium phosphate (MAP)","N2O direct EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Monoammonium phosphate (MAP)","N2O indirect vol EF kg N2O kg N-1","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857","0.0157142857142857"
0,0,"0","0","Monoammonium phosphate (MAP)","N2O indirect leach EF kg N2O kg N-1","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143","0.0117857142857143"
0,0,"0","0","Monoammonium phosphate (MAP)","Fraction leached","0.3","0.3","0.3","0.3","0.3"
0,0,"0","0","Monoammonium phosphate (MAP)","kg NH3 req per tonne fertiliser","134","134","134","134","134"
0,0,"0","0","Monoammonium phosphate (MAP)","kg HNO3 req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Monoammonium phosphate (MAP)","kg urea req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Monoammonium phosphate (MAP)","kg ammonium nitrate req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Monoammonium phosphate (MAP)","kg map req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Monoammonium phosphate (MAP)","kg dap req per tonne fertiliser","0","0","0","0","0"
0,0,"0","0","Monoammonium phosphate (MAP)","conversion tonnes N to tonnes fertiliser","9.09","9.09","9.09","9.09","9.09"
0,0,"0","0","NPK fertilizers","Tonnes","178320","178320","178320","178320","178320"
0,0,"0","0","NPK fertilizers","Tonnes N","26748","26748","26748","26748","26748"
0,0,"0","0","NPK fertilizers","NH3 EF kg NH3 kg N-1","0.067","0.067","0","0","0"
0,0,"0","0","NPK fertilizers","NO EF kg NO2 kg N-1","0.04","0.04","0.04","0.04","0.04"
