"country","scenario","species","mgmt","animal","cohort","feed","loc","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"chicken","broilers",0,0,"MLSOY","non-local",0,0,"27","27","27","27","27"
0,0,"chicken","broilers",0,0,"MLCTTN","non-local",0,0,"0","0","0","0","0"
0,0,"chicken","broilers",0,0,"MLRAPE","non-local",0,0,"0","0","0","0","0"
0,0,"chicken","broilers",0,0,"PKEXP","non-local",0,0,"0","0","0","0","0"
0,0,"chicken","broilers",0,0,"MLOILSDS","non-local",0,0,"0","0","0","0","0"
0,0,"chicken","broilers",0,0,"FISHMEAL","non-local",0,0,"0","0","0","0","0"
0,0,"chicken","broilers",0,0,"MOLASSES","non-local",0,0,"0","0","0","0","0"
0,0,"chicken","broilers",0,0,"GRNBYDRY","non-local",0,0,"0","0","0","0","0"
0,0,"chicken","broilers",0,0,"GRNBYWET","non-local",0,0,"0","0","0","0","0"
0,0,"chicken","broilers",0,0,"SYNTHETIC","non-local",0,0,"1","1","1","1","1"
0,0,"chicken","broilers",0,0,"LIMESTONE","non-local",0,0,"1","1","1","1","1"
