"country","scenario","species","mgmt","animal","cohort","manure","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"chicken","backyard",0,0,"pasture","Manure mgmt system","Percent","50","50","50","50","50"
0,0,"chicken","backyard",0,0,"daily_spread","Manure mgmt system","Percent","50","50","50","50","50"
0,0,"chicken","backyard",0,0,"solid_storage","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","backyard",0,0,"dry_lot","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","backyard",0,0,"liquid_slurry","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","backyard",0,0,"liquid_slurry_crust","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","backyard",0,0,"anaerobic_lagoon","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","backyard",0,0,"pitstorage_less1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","backyard",0,0,"pitstorage_greater1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","backyard",0,0,"pitstorage_greater1month_chickens","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","backyard",0,0,"anaerobic_digester","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","backyard",0,0,"composting","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","backyard",0,0,"burned_fuel","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","backyard",0,0,"poultry_with_litter","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"pasture","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"daily_spread","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"solid_storage","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"dry_lot","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"liquid_slurry","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"liquid_slurry_crust","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"anaerobic_lagoon","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"pitstorage_less1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"pitstorage_greater1month","Manure mgmt system","Percent","0","0","0","0","0"
0,0,"chicken","layers",0,0,"pitstorage_greater1month_chickens","Manure mgmt system","Percent","90.0000076294","90.0000076294","90.0000076294","90.0000076294","90.0000076294"
