"country","year","sector","subsector","variable","units","value"
"Nigeria",2018,"Coconut Oil",NA,"yield","kg ha-1 y-1",Inf
"Nigeria",2018,"Coconut Oil",NA,"land area","ha",0
"Nigeria",2018,"Coconut Oil",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Coconut Oil",NA,"NUE","fraction",NA
"Nigeria",2018,"Coconut Oil",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Coconuts - Incl Copra",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Coconuts - Incl Copra",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Coconuts - Incl Copra",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Coconuts - Incl Copra",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Coconuts - Incl Copra",NA,"yield","kg ha-1 y-1",9264.27197443924
"Nigeria",2018,"Coconuts - Incl Copra",NA,"land area","ha",30672
"Nigeria",2018,"Coconuts - Incl Copra",NA,"N surplus","kg N y-1",-2498.10741795688
"Nigeria",2018,"Coconuts - Incl Copra",NA,"NUE","fraction",115.725970228098
"Nigeria",2018,"Coconuts - Incl Copra",NA,"ymax","kg N y-1",-137069452.838449
"Nigeria",2018,"Coffee and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Coffee and products",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Coffee and products",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Coffee and products",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Coffee and products",NA,"yield","kg ha-1 y-1",0
"Nigeria",2018,"Coffee and products",NA,"land area","ha",901
"Nigeria",2018,"Coffee and products",NA,"N surplus","kg N y-1",21.7745590905891
"Nigeria",2018,"Coffee and products",NA,"NUE","fraction",0
"Nigeria",2018,"Coffee and products",NA,"ymax","kg N y-1",0
"Nigeria",2018,"Cottonseed Oil",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Cottonseed Oil",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Cottonseed Oil",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Cottonseed Oil",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Cottonseed Oil",NA,"yield","kg ha-1 y-1",Inf
"Nigeria",2018,"Cottonseed Oil",NA,"land area","ha",0
"Nigeria",2018,"Cottonseed Oil",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Cottonseed Oil",NA,"NUE","fraction",NA
"Nigeria",2018,"Cottonseed Oil",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Dates",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Dates",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Dates",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Dates",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Dates",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Dates",NA,"land area","ha",0
"Nigeria",2018,"Dates",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Dates",NA,"NUE","fraction",NA
"Nigeria",2018,"Dates",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Fruits, Other",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Fruits, Other",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Fruits, Other",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Fruits, Other",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Fruits, Other",NA,"yield","kg ha-1 y-1",18768.4597274738
"Nigeria",2018,"Fruits, Other",NA,"land area","ha",168204
"Nigeria",2018,"Fruits, Other",NA,"N surplus","kg N y-1",-1479.70221910732
"Nigeria",2018,"Fruits, Other",NA,"NUE","fraction",68.9555536785514
"Nigeria",2018,"Fruits, Other",NA,"ymax","kg N y-1",-48377376.7014601
"Nigeria",2018,"Grapefruit and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Grapefruit and products",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Grapefruit and products",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Grapefruit and products",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Grapefruit and products",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Grapefruit and products",NA,"land area","ha",0
"Nigeria",2018,"Grapefruit and products",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Grapefruit and products",NA,"NUE","fraction",NA
"Nigeria",2018,"Grapefruit and products",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Grapes and products (excl wine)",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Grapes and products (excl wine)",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Grapes and products (excl wine)",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Grapes and products (excl wine)",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Grapes and products (excl wine)",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Grapes and products (excl wine)",NA,"land area","ha",0
"Nigeria",2018,"Grapes and products (excl wine)",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Grapes and products (excl wine)",NA,"NUE","fraction",NA
"Nigeria",2018,"Grapes and products (excl wine)",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Groundnut Oil",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Groundnut Oil",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Groundnut Oil",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Groundnut Oil",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Groundnut Oil",NA,"yield","kg ha-1 y-1",Inf
"Nigeria",2018,"Groundnut Oil",NA,"land area","ha",0
"Nigeria",2018,"Groundnut Oil",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Groundnut Oil",NA,"NUE","fraction",NA
"Nigeria",2018,"Groundnut Oil",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Groundnuts (Shelled Eq)",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Groundnuts (Shelled Eq)",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Groundnuts (Shelled Eq)",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Groundnuts (Shelled Eq)",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Groundnuts (Shelled Eq)",NA,"yield","kg ha-1 y-1",960.365542312166
"Nigeria",2018,"Groundnuts (Shelled Eq)",NA,"land area","ha",3770015
"Nigeria",2018,"Groundnuts (Shelled Eq)",NA,"N surplus","kg N y-1",-3927.24855089704
"Nigeria",2018,"Groundnuts (Shelled Eq)",NA,"NUE","fraction",181.359498190454
"Nigeria",2018,"Groundnuts (Shelled Eq)",NA,"ymax","kg N y-1",-337697179.382293
"Nigeria",2018,"Lemons, Limes and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Lemons, Limes and products",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Lemons, Limes and products",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Lemons, Limes and products",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Lemons, Limes and products",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Lemons, Limes and products",NA,"land area","ha",0
"Nigeria",2018,"Lemons, Limes and products",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Lemons, Limes and products",NA,"NUE","fraction",NA
"Nigeria",2018,"Lemons, Limes and products",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Maize and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Maize and products",NA,"above ground residue","kg y-1",7643768507.37387
"Nigeria",2018,"Maize and products",NA,"below ground residue","kg y-1",1681629071.62225
"Nigeria",2018,"Maize and products",NA,"total residue burned","kg y-1",1910942126.84347
"Nigeria",2018,"Maize and products",NA,"yield","kg ha-1 y-1",1251.44971551516
"Nigeria",2018,"Maize and products",NA,"land area","ha",6816126
"Nigeria",2018,"Maize and products",NA,"N surplus","kg N y-1",-1880.42900849246
"Nigeria",2018,"Maize and products",NA,"NUE","fraction",87.35899356994
"Nigeria",2018,"Maize and products",NA,"ymax","kg N y-1",-77886700.0701972
"Nigeria",2018,"Maize Germ Oil",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Maize Germ Oil",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Maize Germ Oil",NA,"below ground residue","kg y-1",0
