"country","year","sector","subsector","variable","units","value"
"Nigeria",2018,"Roots, Other",NA,"land area","ha",15643428
"Nigeria",2018,"Roots, Other",NA,"N surplus","kg N y-1",-32.3123072918944
"Nigeria",2018,"Roots, Other",NA,"NUE","fraction",2.48394771887067
"Nigeria",2018,"Roots, Other",NA,"ymax","kg N y-1",-38054.775193777
"Nigeria",2018,"Rye and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Rye and products",NA,"above ground residue","kg y-1",880
"Nigeria",2018,"Rye and products",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Rye and products",NA,"total residue burned","kg y-1",220
"Nigeria",2018,"Rye and products",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Rye and products",NA,"land area","ha",0
"Nigeria",2018,"Rye and products",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Rye and products",NA,"NUE","fraction",NA
"Nigeria",2018,"Rye and products",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Sesame seed",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Sesame seed",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Sesame seed",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Sesame seed",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Sesame seed",NA,"yield","kg ha-1 y-1",692.60958198559
"Nigeria",2018,"Sesame seed",NA,"land area","ha",693134
"Nigeria",2018,"Sesame seed",NA,"N surplus","kg N y-1",-1939.6957770926
"Nigeria",2018,"Sesame seed",NA,"NUE","fraction",90.0808291007341
"Nigeria",2018,"Sesame seed",NA,"ymax","kg N y-1",-82844700.9683999
"Nigeria",2018,"Sesameseed Oil",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Sesameseed Oil",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Sesameseed Oil",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Sesameseed Oil",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Sesameseed Oil",NA,"yield","kg ha-1 y-1",Inf
"Nigeria",2018,"Sesameseed Oil",NA,"land area","ha",0
"Nigeria",2018,"Sesameseed Oil",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Sesameseed Oil",NA,"NUE","fraction",NA
"Nigeria",2018,"Sesameseed Oil",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Sorghum and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Sorghum and products",NA,"above ground residue","kg y-1",5212592969.30758
"Nigeria",2018,"Sorghum and products",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Sorghum and products",NA,"total residue burned","kg y-1",1303148242.32689
"Nigeria",2018,"Sorghum and products",NA,"yield","kg ha-1 y-1",1189.31090917226
"Nigeria",2018,"Sorghum and products",NA,"land area","ha",5596102
"Nigeria",2018,"Sorghum and products",NA,"N surplus","kg N y-1",-1900.15187013179
"Nigeria",2018,"Sorghum and products",NA,"NUE","fraction",88.2647690465995
"Nigeria",2018,"Sorghum and products",NA,"ymax","kg N y-1",-79519646.7700719
"Nigeria",2018,"Soyabean Oil",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Soyabean Oil",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Soyabean Oil",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Soyabean Oil",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Soyabean Oil",NA,"yield","kg ha-1 y-1",Inf
"Nigeria",2018,"Soyabean Oil",NA,"land area","ha",0
"Nigeria",2018,"Soyabean Oil",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Soyabean Oil",NA,"NUE","fraction",NA
"Nigeria",2018,"Soyabean Oil",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Soyabeans",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Soyabeans",NA,"above ground residue","kg y-1",494649947.625
"Nigeria",2018,"Soyabeans",NA,"below ground residue","kg y-1",93983490.04875
"Nigeria",2018,"Soyabeans",NA,"total residue burned","kg y-1",123662486.90625
"Nigeria",2018,"Soyabeans",NA,"yield","kg ha-1 y-1",839.322076004917
"Nigeria",2018,"Soyabeans",NA,"land area","ha",696376
"Nigeria",2018,"Soyabeans",NA,"N surplus","kg N y-1",-5081.30366301931
"Nigeria",2018,"Soyabeans",NA,"NUE","fraction",234.359658024737
"Nigeria",2018,"Soyabeans",NA,"ymax","kg N y-1",-564620633.205963
"Nigeria",2018,"Sugar (Raw Equivalent)",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Sugar (Raw Equivalent)",NA,"above ground residue","kg y-1",2708048.00000013
"Nigeria",2018,"Sugar (Raw Equivalent)",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Sugar (Raw Equivalent)",NA,"total residue burned","kg y-1",677012.000000031
"Nigeria",2018,"Sugar (Raw Equivalent)",NA,"yield","kg ha-1 y-1",Inf
"Nigeria",2018,"Sugar (Raw Equivalent)",NA,"land area","ha",0
"Nigeria",2018,"Sugar (Raw Equivalent)",NA,"N surplus","kg N y-1",-Inf
"Nigeria",2018,"Sugar (Raw Equivalent)",NA,"NUE","fraction",Inf
"Nigeria",2018,"Sugar (Raw Equivalent)",NA,"ymax","kg N y-1",-Inf
"Nigeria",2018,"Sugar beet",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Sugar beet",NA,"above ground residue","kg y-1",1060
"Nigeria",2018,"Sugar beet",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Sugar beet",NA,"total residue burned","kg y-1",265
"Nigeria",2018,"Sugar beet",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Sugar beet",NA,"land area","ha",0
"Nigeria",2018,"Sugar beet",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Sugar beet",NA,"NUE","fraction",NA
"Nigeria",2018,"Sugar beet",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Sugar cane",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Sugar cane",NA,"above ground residue","kg y-1",117555200
"Nigeria",2018,"Sugar cane",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Sugar cane",NA,"total residue burned","kg y-1",29388800
"Nigeria",2018,"Sugar cane",NA,"yield","kg ha-1 y-1",15424.7689811658
"Nigeria",2018,"Sugar cane",NA,"land area","ha",85058
"Nigeria",2018,"Sugar cane",NA,"N surplus","kg N y-1",-471.818048306716
"Nigeria",2018,"Sugar cane",NA,"NUE","fraction",22.6683169722888
"Nigeria",2018,"Sugar cane",NA,"ymax","kg N y-1",-5070987.80573957
"Nigeria",2018,"Sunflower seed",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Sunflower seed",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Sunflower seed",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Sunflower seed",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Sunflower seed",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Sunflower seed",NA,"land area","ha",0
"Nigeria",2018,"Sunflower seed",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Sunflower seed",NA,"NUE","fraction",NA
"Nigeria",2018,"Sunflower seed",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Sunflowerseed Oil",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Sunflowerseed Oil",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Sunflowerseed Oil",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Sunflowerseed Oil",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Sunflowerseed Oil",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Sunflowerseed Oil",NA,"land area","ha",0
"Nigeria",2018,"Sunflowerseed Oil",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Sunflowerseed Oil",NA,"NUE","fraction",NA
"Nigeria",2018,"Sunflowerseed Oil",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Sweet potatoes",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Sweet potatoes",NA,"above ground residue","kg y-1",88654762.5000002
"Nigeria",2018,"Sweet potatoes",NA,"below ground residue","kg y-1",17730952.5
"Nigeria",2018,"Sweet potatoes",NA,"total residue burned","kg y-1",22163690.625
"Nigeria",2018,"Sweet potatoes",NA,"yield","kg ha-1 y-1",2427.78410706626
"Nigeria",2018,"Sweet potatoes",NA,"land area","ha",1659832
"Nigeria",2018,"Sweet potatoes",NA,"N surplus","kg N y-1",-250.137260900832
"Nigeria",2018,"Sweet potatoes",NA,"NUE","fraction",12.4875924633046
"Nigeria",2018,"Sweet potatoes",NA,"ymax","kg N y-1",-1481002.6868083
"Nigeria",2018,"Tea (including mate)",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Tea (including mate)",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Tea (including mate)",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Tea (including mate)",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Tea (including mate)",NA,"yield","kg ha-1 y-1",NA
"Nigeria",2018,"Tea (including mate)",NA,"land area","ha",0
"Nigeria",2018,"Tea (including mate)",NA,"N surplus","kg N y-1",NA
"Nigeria",2018,"Tea (including mate)",NA,"NUE","fraction",NA
"Nigeria",2018,"Tea (including mate)",NA,"ymax","kg N y-1",NA
"Nigeria",2018,"Tomatoes and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Tomatoes and products",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Tomatoes and products",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Tomatoes and products",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Tomatoes and products",NA,"yield","kg ha-1 y-1",4634.39169104089
"Nigeria",2018,"Tomatoes and products",NA,"land area","ha",754896
"Nigeria",2018,"Tomatoes and products",NA,"N surplus","kg N y-1",-627.040277655136
"Nigeria",2018,"Tomatoes and products",NA,"NUE","fraction",29.7969219053506
"Nigeria",2018,"Tomatoes and products",NA,"ymax","kg N y-1",-8858609.96888141
"Nigeria",2018,"Vegetables, Other",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Vegetables, Other",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Vegetables, Other",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Vegetables, Other",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Vegetables, Other",NA,"yield","kg ha-1 y-1",15083.4623323014
"Nigeria",2018,"Vegetables, Other",NA,"land area","ha",765510
"Nigeria",2018,"Vegetables, Other",NA,"N surplus","kg N y-1",-3356.92100334491
"Nigeria",2018,"Vegetables, Other",NA,"NUE","fraction",155.167117202193
"Nigeria",2018,"Vegetables, Other",NA,"ymax","kg N y-1",-246967356.171176
"Nigeria",2018,"Wheat and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Wheat and products",NA,"above ground residue","kg y-1",74778342.1125927
"Nigeria",2018,"Wheat and products",NA,"below ground residue","kg y-1",448670.052675556
"Nigeria",2018,"Wheat and products",NA,"total residue burned","kg y-1",18694585.5281482
"Nigeria",2018,"Wheat and products",NA,"yield","kg ha-1 y-1",990.254503648452
"Nigeria",2018,"Wheat and products",NA,"land area","ha",56190
"Nigeria",2018,"Wheat and products",NA,"N surplus","kg N y-1",-1911.20223203119
"Nigeria",2018,"Wheat and products",NA,"NUE","fraction",88.7722586289798
"Nigeria",2018,"Wheat and products",NA,"ymax","kg N y-1",-80441961.7621179
"Nigeria",2018,"Yams",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Yams",NA,"above ground residue","kg y-1",674875782.499999
"Nigeria",2018,"Yams",NA,"below ground residue","kg y-1",134975156.5
"Nigeria",2018,"Yams",NA,"total residue burned","kg y-1",168718945.625
"Nigeria",2018,"Yams",NA,"yield","kg ha-1 y-1",5055.53947345868
"Nigeria",2018,"Yams",NA,"land area","ha",6067824
"Nigeria",2018,"Yams",NA,"N surplus","kg N y-1",-1029.77765138882
"Nigeria",2018,"Yams",NA,"NUE","fraction",48.2926981944669
"Nigeria",2018,"Yams",NA,"ymax","kg N y-1",-23578907.1810258
"Nigeria",2018,"GRAINSIL",NA,"yield","kg ha-1 y-1",9017.30095104537
"Nigeria",2018,"GRAINSIL",NA,"land area","ha",325463.223907883
"Nigeria",2018,"GRAINSIL",NA,"N surplus","kg N y-1",3.73995718849833
"Nigeria",2018,"MAIZESIL",NA,"yield","kg ha-1 y-1",9017.30095104537
"Nigeria",2018,"MAIZESIL",NA,"land area","ha",320105.121352546
"Nigeria",2018,"MAIZESIL",NA,"N surplus","kg N y-1",3.73995718849833
"Nigeria",2018,"FDDRBEET",NA,"yield","kg ha-1 y-1",8670.48168369748
"Nigeria",2018,"FDDRBEET",NA,"land area","ha",337546.24056955
"Nigeria",2018,"FDDRBEET",NA,"N surplus","kg N y-1",3.73995718849833
"Nigeria",2018,"grassland",NA,"N surplus","kg N y-1",41.2888683892382
