"country","year","sector","subsector","species","mgmt","animal","pollutant","units","value"
"Nigeria",2018,"livestock","manure management","cattle","grassland","beef","NO","kg y-1",323363.029404478
"Nigeria",2018,"livestock","manure management","cattle","grassland","dairy","NO","kg y-1",63680.142422429
"Nigeria",2018,"livestock","manure management","sheep","mixed","non-dairy","NO","kg y-1",1167448.39952645
"Nigeria",2018,"livestock","manure management","sheep","mixed","dairy","NO","kg y-1",0
"Nigeria",2018,"livestock","manure management","sheep","grassland","non-dairy","NO","kg y-1",57124.3718563552
"Nigeria",2018,"livestock","manure management","sheep","grassland","dairy","NO","kg y-1",0
"Nigeria",2018,"livestock","manure management","pig","backyard","all","NO","kg y-1",489686.399675057
"Nigeria",2018,"livestock","manure management","pig","intermediate","all","NO","kg y-1",33912.1046535566
"Nigeria",2018,"livestock","manure management","pig","industrial","all","NO","kg y-1",143909.179469289
"Nigeria",2018,"livestock","manure management","chicken","backyard","all","NO","kg y-1",337549.392273285
"Nigeria",2018,"livestock","manure management","chicken","layers","all","NO","kg y-1",476872.522559734
"Nigeria",2018,"livestock","manure management","chicken","broilers","all","NO","kg y-1",52902.7177055602
"Nigeria",2018,"crops","manure application","Apples and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Bananas",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Barley and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Beans",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Cassava and products",NA,NA,"NH3","kg y-1",9386297.05362704
"Nigeria",2018,"crops","manure application","Cereals, Other",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Citrus, Other",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Cocoa Beans and products",NA,NA,"NH3","kg y-1",1804844.45455792
"Nigeria",2018,"crops","manure application","Coconut Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Coconuts - Incl Copra",NA,NA,"NH3","kg y-1",43177.0058623131
"Nigeria",2018,"crops","manure application","Coffee and products",NA,NA,"NH3","kg y-1",1268.33862421571
"Nigeria",2018,"crops","manure application","Cottonseed Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Dates",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Fruits, Other",NA,NA,"NH3","kg y-1",236780.943338045
"Nigeria",2018,"crops","manure application","Grapefruit and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Grapes and products (excl wine)",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Groundnut Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Groundnuts (Shelled Eq)",NA,NA,"NH3","kg y-1",5307053.98265546
"Nigeria",2018,"crops","manure application","Lemons, Limes and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Maize and products",NA,NA,"NH3","kg y-1",9595067.56195438
"Nigeria",2018,"crops","manure application","Maize Germ Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Millet and products",NA,NA,"NH3","kg y-1",3781548.08884656
"Nigeria",2018,"crops","manure application","Nuts and products",NA,NA,"NH3","kg y-1",201023.929582548
"Nigeria",2018,"crops","manure application","Oats",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Oilcrops Oil, Other",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Oilcrops, Other",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Olive Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Olives (including preserved)",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Onions",NA,NA,"NH3","kg y-1",22207.8913824939
"Nigeria",2018,"crops","manure application","Oranges, Mandarines",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Palm Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Palmkernel Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Peas",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Pineapples and products",NA,NA,"NH3","kg y-1",278115.26855763
"Nigeria",2018,"crops","manure application","Plantains",NA,NA,"NH3","kg y-1",707963.815280589
"Nigeria",2018,"crops","manure application","Potatoes and products",NA,NA,"NH3","kg y-1",457660.49588903
"Nigeria",2018,"crops","manure application","Pulses",NA,NA,"NH3","kg y-1",210448.487950055
"Nigeria",2018,"crops","manure application","Rape and Mustard Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","manure application","Rape and Mustardseed",NA,NA,"NH3","kg y-1",0
